,PESR012 - Relatorio Geral de Pessoa,,,,,,,,,,,,,,
26,BARNABE DA SILVA 27753476653,J,"R R BENJAMIN CONSTANT,348",CONTAGEM / MG,3133570950,24.812.694/0001-20,27612250004,,PEDRA AZUL,,32185020,Ativo / Inativo,warleyyhenrique@hotmail.com,,
27,BE EIGHT INDUSTRIA E COMERCIO DE ROUPAS LTDA,J,"V V VEREADOR DJALMA MAGALHAES BARROS,6330",CIANORTE / PR,4436196622,02.790.680/0001-10,9016936097,,ZONA 11A,PAVLH A,87211409,Ativo / Ativo,marcos@beeigth.com.br,,
28,BOGRANTEX INDUSTRIA DO VESTUARIO LTDA.,J,"R R HANNOVER,195",JARAGUA DO SUL / SC,4732758600,03.457.085/0001-20,253974119,,BARRA DO RIO CERRO,,89260656,Ativo / Inativo,marioc.k@bocagrande.com.br,,
29,BOX COLLECTION BRASIL CONFECCOES LTDA,J,"R LINHA TRES RIBEIROES,125",CRICIUMA / SC,4830453400,02.035.899/0001-03,253466466,,SAO LUIZ,,88803570,Ativo / Ativo,taise.boxb@gmail.com,,
30,CALEBE EVANS CANDINI E SILVA 70049559150,J,"R R C48,0",GOIANIA / GO,62992199891,32.390.660/0001-12,107477793,,SETOR SUDOESTE,QUADRA 89,74305280,Ativo / Ativo,legacyforman@gmail.com,,
31,CAMISARIA MAJESTIC LTDA,J,"RUA R 2,0",ITAPURANGA / GO,6233121476,21.984.365/0001-78,106253565,,PARQUE ALVORADA,QUADRA: 50,76680000,Ativo / Ativo,juliocesar529@gmail.com,,
32,CAMISARIA MILANI LTDA,J,"RUA R JOSE FISCHER,200",GUABIRUBA / SC,4733541000,02.039.051/0001-52,253519179,,CENTRO,,88360000,Ativo / Ativo,fiscal@camisariamilani.com.br,,
33,CASAS C ARAUJO TECIDOS EIRELI,J,"R R TENENTE RETUMBA,43",JOAO PESSOA / PB,8332228267,08.750.646/0001-06,161515517,,CENTRO,,58010030,Ativo / Inativo,casascarujo@gmail.com,,
34,CELIS FERREIRA LARA 08951861600,J,"R  UBA,510",DIVINOPOLIS / MG,3732121413,19.558.711/0001-04,22934780023,,ITAI,,35500265,Ativo / Inativo,contato@cantabilidadefaria.com.br,,
35,TBM - TEXTIL BEZERRA DE MENEZES S/A,J,"AV AV BERNARDO MANUEL,9981",FORTALEZA / CE,8540129100,07.671.092/0001-80,68135998,,PARQUE DOIS IRMAOS,,60761281,Ativo / Ativo,alex.gomes@tbmtextil.com.br,,
36,COTEMINAS S.A.,J,"AV DEPUTADO RAIMUNDO ASFORA,1001",CAMPINA GRANDE / PB,1121454489,07.663.140/0006-01,161469868,,VELAME,,58420000,Ativo / Ativo,,,
37,ELEGANCE IND E COM  LTDA,J,"AV AV ANTONIO OLIMPIO DE MORAIS,2101",DIVINOPOLIS / MG,3732146677,21.678.834/0001-20,2234969980072,,SANTA CLARA,,35500071,Ativo / Ativo,byanca@elegancecamisas.com.br,,
38,COMERCIO DE ARMARINHOS KWAN LTDA,J,"PC PC GENEROSO MARQUES,138",CURITIBA / PR,4130133110,05.534.324/0001-23,9027500029,,CENTRO,TERREO,80020230,Ativo / Inativo,njacomel2@yahoo.com,,
39,KALUFF INDUSTRIA DE CONFECCOES LTDA,J,"R R SERGIPE,769",DIVINOPOLIS / MG,3732147461,25.379.801/0001-30,2235634430020,,CENTRO,,35500012,Ativo / Inativo,financeiro@camisastendencia.com.br,,
40,SIBRA INDUSTRIA E COMERCIO LTDA,J,"ROD ROD BR-262,0",PARA DE MINAS / MG,3732311087,07.555.650/0001-42,4713769530060,,PATAFUFO,KM: 400,35661390,Ativo / Inativo,fiscal@sibra.ind.br,,
41,INDUSTRIA DE CONFECCOES SAN LOREN LTDA,J,"R JOAO DIAS,2000",DIVINOPOLIS / MG,3788394497,19.400.392/0001-04,22770980084,,INTERLAGOS,,35500470,Ativo / Ativo,sanlorencamisaria@hotmail.com,,
42,MARANTEX COMERCIO DE TECIDOS E RETALHOS LTDA,J,"R ALMIRANTE BARROSO,389",SAO PAULO / SP,1127965469,71.871.560/0001-60,149617953110,,BRAS,ANDAR 1,3025000,Ativo / Ativo,marantex@uol.com.br,,
43,MILANO CAMISARIA LTDA,J,"R ITAMBACURI,218",DIVINOPOLIS / MG,3732149210,28.871.166/0001-00,30617380082,,LEVINDO PAULA PEREIRA,E 22,35502050,Ativo / Bloqueado,faturamento@teodorocamisaria.com.br,,
44,GUINATEX TECIDOS E RETALHOS EIRELI,J,"AV AV PRESIDENTE KENNEDY,6936",PRAIA GRANDE / SP,1334957956,16.877.085/0001-20,558253839112,,OCIAN,,11704100,Ativo / Inativo,guinatex.tecidos@outlook.com,,
45,ARTESAO DO BRILHO INDUSTRIA E CONFEC  DE ARTIGOS,J,"AV AV MASCARENHAS DE MORAIS,1715",DUQUE DE CAXIAS / RJ,2135788400,04.048.649/0001-33,77095578,,CHACARAS RIO-PETROPOLIS,QUADRA: 24 B,25230030,Ativo / Inativo,jacklline.lopes@cacula.com,,
46,ROSIMEIRE MARIA DOS SANTOS RODRIGUES 98992627149,J,"RUA EST GO 451 KM 04,0",CAMPO LIMPO DE GOIAS / GO,62991583108,22.735.117/0001-56,106351192,,ZONA RURAL,,75160000,Ativo / Inativo,alvaropontofrio@hotmail.com,,
47,DECORART TECIDOS LTDA,J,"RUA R BARCELONA,160",IGARATINGA / MG,3732461706,20.602.323/0001-62,23899740050,,NOVA BRASILIA,,35695000,Ativo / Ativo,decorarttecidos@yahoo.com.br,,
48,COMERCIAL JB TEXTIL LTDA,J,"R JOAO BARRETO DA SILVA,68",CARUARU / PE,8130456366,30.284.155/0001-68,76975894,,SAO FRANCISCO,,55006370,Ativo / Inativo,jbatista_rep@hotmail.com,,
49,AVIL TEXTIL LTDA,J,"AV JOSE PINHEIRO DOS SANTOS,250",CARUARU / PE,8121037500,04.917.296/0001-60,28914252,,PINHEIROPOLIS,,55032640,Ativo / Ativo,notafiscal@avil.com.br,,
50,AVIL TEXTIL LTDA,J,"R R DO LIVRAMENTO,109",RECIFE / PE,8130596139,04.917.296/0008-37,32272863,,SANTO ANTONIO,RUA PENHA 03 07 13 FUNDOSRUA DO RANGEL 100,50020570,Ativo / Ativo,nfe@avil.com.br,,
51,LC COMERCIO DE TECIDOS LTDA,J,"R R SANTA DIAMANTINA,116",CARUARU / PE,81995012990,11.640.004/0001-50,39620832,,DIVINOPOLIS,,55010260,Ativo / Ativo,lclaudiotecidos@hotmail.com,,
52,FORSEASON COMERCIAL LTDA,J,"R R SOUSA CALDAS,390",SAO PAULO / SP,1120818100,00.881.932/0001-90,114465508110,,BRAS,,3025040,Ativo / Inativo,forenzatecidos@gmail.com,,
53,NINA TOP INDUSTRIA E COMERCIO DE ROUPAS LTDA,J,"R RUA CEL EMILIO PIEDADE,121",SAO PAULO / SP,11944678750,14.835.376/0001-20,119103056113,,BRAS,,3018000,Ativo / Inativo,ninatopcomercio@outlook.com,,
54,FATEIXA CONFECCOES LTDA,J,"AV AV JOAO PESSOA,5252",FORTALEZA / CE,8532451616,23.743.693/0001-08,68551924,,DAMAS,,60425813,Ativo / Ativo,srsoares@hotmail.com,,
55,MARISCO DA PEDRA INDUSTRIA E COMER DE CONFEC LTDA,J,"RUA ROD BR 101,21",MARACAJA / SC,48998046747,01.540.188/0001-23,253386438,,SAO CRISTOVAO,SALA  28,88915000,Ativo / Bloqueado,mariscodapedraportal@hotmail.com,,
56,JOSE CARLOS SCHEFFER,J,"RUA AV ADOLFO TISKOSKI,125",SOMBRIO / SC,4835331119,72.542.939/0001-99,252657837,,JANUARIA,,88960000,Ativo / Ativo,schermanalmox@hotmail.com,,
57,ROSIMAR MENEZES DE OLIVEIRA 13524380387,J,"R R LEAO XIII,636",FORTALEZA / CE,85987922795,17.168.231/0001-01,66220696,,SERRINHA,CASA,60741380,Ativo / Inativo,meneses.brunna@gmail.com,,
58,FEMENA MODAS LTDA,J,"R R BORTOLO ZANI,626",CAXIAS DO SUL / RS,5432121955,93.862.332/0001-66,290209315,,BELA VISTA,,95072000,Ativo / Inativo,femena@femenamodas.com.br,,
59,TAPITEX COMERCIO DE TECIDOS LTDA,J,"AV AV IMIRIM,966",SAO PAULO / SP,1122560471,25.062.458/0001-04,140968442110,,IMIRIM,SUBSL,2464100,Ativo / Inativo,thiago@tapitex.com.br,,
60,IMPERIO TEXTIL LTDA,J,"AVENIDA ANTONIO PIO DA FONSECA,2",IGARATINGA / MG,3732461700,21.009.399/0001-41,24277050077,,JARDIM VITORIA,,35695000,Ativo / Ativo,imperiotextilltda@gmail.com,,
61,METROPOLITAN MODA MASCULINA LTDA,J,"AV T-10,1300",GOIANIA / GO,6232111200,17.327.089/0001-06,105523569,,SETOR BUENO,SALA  221 E 249,74223900,Inativo / Inativo,gentleman@gentleman.com.br,,
62,THREE REPUBLIC INDUSTRIA DE CONFECCOES EIRELI,J,"R R ERICO VERISSIMO,1650",DIVINOPOLIS / MG,3798331340,04.152.292/0001-39,2231057590062,,CATALAO,,35501200,Ativo / Bloqueado,threerepublic@bol.com.br,,
63,W. F. GONZAGA COMERCIO DE ROUPAS LTDA,J,"R JULTANO VIEIRA ROSA,82",GOIANIA / GO,62986519151,15.844.094/0001-52,105381870,,RES VALE DO ARAGUAIA,LT AREA,74735480,Ativo / Ativo,malibu106@outlook.com,,
64,MERCADAO DOS TECIDOS LTDA,J,"R R DOS GUARANIS,418",BELO HORIZONTE / MG,3132077052,21.852.006/0001-67,25077300089,,CENTRO,,30120040,Ativo / Inativo,nfemalharia@aliancatextil.com.br,,
65,FAMILY' S CONFECCOES LTDA,J,"RUA AV MELVIN JONES,505",TERRA BOA / PR,4436411746,02.668.656/0001-02,9016593386,,CENTRO,PREDIO,87240000,Ativo / Inativo,familysconfeccoes@hotmail.com,,
66,N M DE CARVALHO MODAS,J,"R R SANTA LUZIA,281",GOIANIA / GO,6232332008,17.212.645/0001-90,105503037,,SETOR CAMPINAS,QUADRA115                 LOTE  09,74525040,Ativo / Inativo,carvalhomodas281@gmail.com,,
67,VALDIR JOSE DA SILVA 80664792120,J,"R R JC 4,0",GOIANIA / GO,62985781790,16.809.585/0001-25,105438260,,JARDIM CURITIBA,QUADRA 27,74480470,Ativo / Inativo,valdirjsilva17@outlook.com,,
68,VITORIA CAMISARIA LTDA,J,"R 69,140",GOIANIA / GO,6291419760,11.694.741/0001-36,104654775,,SETOR NORTE FERROVIARIO,QUADRA140A                LOTE  39E                 LOJA  J5 E J6,74063340,Ativo / Ativo,gilsonrodrigues.silva@hotmail.com,,
69,COMERCIO DE TECIDOS ITAUNA LTDA,J,"R DO DUI,392",ITAUNA / MG,3732422070,08.471.410/0001-22,10238850064,,VILA NAZARE,,35680414,Ativo / Ativo,mjsmarcelo.1903@gmail.com,,
70,HELIO GOMES PEREIRA JUNIOR,J,"RUA AV ITAPURANGA C/ RUA 12,0",ITAPURANGA / GO,62984041806,29.647.745/0001-29,107171635,,CONJUNTO SANDRA VILELA,QUADRAA LOTE 10,76680000,Ativo / Inativo,juniorcapiat@gmail.com,,
71,TECIDOS JANON LTDA,J,"RUA DO ROSARIO,128",IGARATINGA / MG,3732461005,41.854.274/0001-25,3027993070092,,CENTRO,,35695000,Ativo / Ativo,tecidosjanon@netsite.com.br,,
72,KAMARO'S INDUSTRIA E COMERCIO LTDA,J,"R R IRACEMA GOMES GUIMARAES,2323",DIVINOPOLIS / MG,3732221214,22.533.848/0001-19,2235316370083,,PADRE LIBERIO,,35502553,Ativo / Inativo,kamaros@kamaros.com.br,,
73,UNITEXTIL UNIAO INDUSTRIAL TEXTIL S/A,J,"AV AUDIZIO PINHEIRO,298",FORTALEZA / CE,8534995444,07.203.904/0001-63,61634328,,DOM LUSTOSA,,60526025,Ativo / Ativo,nfe@unitextil.com.br,,
74,GEISE MEIRE LIRA TECIDOS,J,"R JOLI,81",SAO PAULO / SP,1122923583,28.286.688/0001-37,118336368110,,BRAS,ANEXO 85,3016020,Ativo / Inativo,geisemeirelira@hotmail.com,,
75,T P DA SILVA TEXTIL,J,"R R SAMPSON,213",SAO PAULO / SP,11947791243,10.691.890/0001-89,148527808110,,BRAS,,3013040,Ativo / Inativo,tpstextil@terra.com.br,,
76,FELIPE HYGINO CARNEVALLI- TECIDOS,J,"R R ALMIRANTE BARROSO,468",SAO PAULO / SP,1141124637,19.137.764/0001-51,142946083111,,BRAS,FUNDOS,3025000,Ativo / Inativo,marabotecidos@outlook.com,,
77,ARIANE DE OLIVEIRA SOUZA,J,"R R SANTA CLARA,125",SAO PAULO / SP,11984117223,24.447.163/0001-85,140654944118,,BRAS,,3025030,Ativo / Inativo,arianesouza2016@yahoo.com.br,,
78,CLARISSE FERREIRA DE OLIVEIRA,J,"RUA R RICARDO DE SOUZA NUNES,423",MARTINOPOLIS / SP,1832752183,00.163.834/0001-18,440011451115,,CENTRO,,19500000,Ativo / Inativo,ladonne@ladomine.com.br,,
79,COURACA INDUSTRIA E COMERCIO DE ARTIGOS PET LTDA,J,"R R VALENTIM BATISTELLA,119",LIMEIRA / SP,1934523897,10.363.362/0001-09,417308994111,,TATU,,13489004,Ativo / Inativo,couraca_@hotmail.com,,
80,TEXTIL MOGRABI 2007 LTDA,J,"R R ARISTIDES LOBO,80",RIO DE JANEIRO / RJ,2132940660,08.722.967/0001-99,78285702,,RIO COMPRIDO,LOJA 125,20250450,Ativo / Ativo,textilmograbi@terra.com.br,,
81,TECIDOS TOTAL LTDA,J,"RUA PORTO ALEGRE,212",IGARATINGA / MG,3732461469,97.526.128/0001-25,18025320014,,SAO JOSE,,35695000,Ativo / Inativo,tecidostotal@hotmail.com,,
83,K-ELLA TEXTIL LTDA,J,"R BENJAMIM CONSTANT,647",GOIANIA / GO,6284458766,12.516.184/0001-26,104807393,,SET CAMPINAS,QUADRA 69                  LOTE  10,74525050,Ativo / Ativo,kellatextil.ju@gmail.com,,
84,"B&C COM. DE TECIDOS, ACES. E ARTIGOS CONFEC. LTDA",J,"R R ARISTIDES LOBO,80",RIO DE JANEIRO / RJ,2132597794,14.164.085/0001-58,87008290,,RIO COMPRIDO,LOJA: 121 MEZANINO,20250450,Ativo / Inativo,catextecidos@hotmail.com,,
85,OLIVEIRA & LOPES LTDA,J,"R R MARIA GERALDINA DA MOTTA,741",IBITINGA / SP,1633419000,54.514.294/0006-03,344018088110,,CHACARA ALVORADA,,14940674,Ativo / Inativo,financeiro@andrezaenxovais.com.br,,
86,J. LUIZ CONFECCOES LTDA,J,"AV JOSE DE ALENCAR GOMES DA SILVA,506",MANTENA / MG,3332415757,03.599.244/0001-20,15768660070,,ESPLANADA,,35293514,Ativo / Ativo,rabbitauziel@hotmail.com,,
87,SUFEX COMERCIO IMPORTACAO E EXPORTACAO LTDA,J,"R R BRESSER,533",SAO PAULO / SP,1126927379,04.964.769/0001-80,116389135111,,BRAS,FUNDOS,3017000,Ativo / Bloqueado,oficinadobone@gmail.com,,
88,INDUSTRIA E COMERCIO DE CONFECCOES EDUARDO E SILVA LTDA,J,"RUA R DOS CEDROS,18",JARAGUA / GO,6233261403,08.976.119/0001-06,104290293,,JARDIM ANA EDITH,QD. 65 LT. 15,76330000,Ativo / Inativo,eduardosilva2@hotmail.com,,
89,CQX TEXTIL EIRELI,J,"R R CACHOEIRA,1310",SAO PAULO / SP,1145944348,17.168.987/0001-50,145809964114,,CATUMBI,,3024000,Ativo / Ativo,ale.cqx@hotmail.com,,
90,CUSTOMIZE IND DO VEST LTDA,J,"R R BRAULINO MICHELINE,756",DIVINOPOLIS / MG,3732147294,26.561.321/0001-59,28656740040,,LEVINDO PAULA PEREIRA,GALPAO01,35502066,Ativo / Inativo,riviera.pistache@gmail.com,,
91,DAMYLLER TEXTIL LTDA,J,"R R CONSELHEIRO PEDRO BORTOLOTTO,50",NOVA VENEZA / SC,4835331834,22.406.638/0001-60,257645845,,SAO BENTO BAIXO,BLOCO: A,88867000,Ativo / Inativo,surf.financeiro@hotmail.com,,
92,DANIELE MARIA DE OLIVEIRA,J,"R INDEPENDENCIA,21",CARUARU / PE,8131361538,29.772.502/0001-12,76060446,,KENNEDY,,55036180,Ativo / Ativo,adriano106@yahoo.com.br,,
93,DOIS ANJOS COMERCIO DE TECIDOS E SINTETICOS LTDA,J,"R R GENERAL EURICO GASPAR DUTRA,494",FLORIANOPOLIS / SC,4830292929,06.073.805/0001-41,254705979,,ESTREITO,,88070001,Ativo / Inativo,doisanjostecidos@hotmail.com,,
94,DUNK BEACH INDUSTRIA E COMERCIO DE CONFECCOES EIRELI,J,"R R ORIENTE,379",SAO PAULO / SP,1122916900,32.891.688/0001-33,123683693110,,BRAS,379,3016001,Ativo / Inativo,nf@rikwil.com.br,,
95,EDERALDO PALMEIRA LEITE 78317185168,J,"AV AV CONTORNO,1529",GOIANIA / GO,62994257875,14.421.933/0001-67,105394629,,SETOR NORTE FERROVIARIO,QUADRA 160,74063350,Ativo / Inativo,conceitoscontabilidade1@hotmail.com,,
96,ENI DE OLIVEIRA FERREIRA PINHEIRO 01860034128,J,"V-AC V AC 2,0",GOIANIA / GO,6291123485,32.616.851/0001-50,107504260,,RESIDENCIAL BERTIM BELCHIOR 2A ETAPA,QUADRA AREA1CASA 64,74490861,Ativo / Ativo,enianaluisa@gmail.com,,
97,FASHION MAN CONF E COM DE ROUPAS LTDA,J,"AV ANHANGUERA,7438",GOIANIA / GO,6230937484,07.529.362/0001-13,104346540,,SET DOS FUNCIONARIOS,QUADRAP78                 LOTE  28,74543010,Ativo / Inativo,dveradvera.com.br@gmail.com,,
98,FIORI IND E COM DE CONF LTDA,J,"R R QUINZE DE NOVEMBRO,270",FORTALEZA / CE,8532926336,63.361.307/0001-38,68852517,,ITAOCA,,60421076,Ativo / Inativo,maryleecriacoes@gmail.com,,
99,GILSON JHADER SOUZA SILVA 70090643186,J,"R R 67-B,194",GOIANIA / GO,6284009041,33.109.377/0001-32,107598280,,SETOR NORTE FERROVIARIO,QUADRA 141-A,74063320,Ativo / Ativo,madudias0123@live.com,,
100,GR COMERCIO DE VESTUARIOS LTDA,J,"R HAROLD BARNSLEY HOLLAND,1151",JACAREI / SP,1233540809,11.018.203/0001-21,392251531111,,RIO ABAIXO,LOJA UNIDADE D9 E D10,12334403,Ativo / Ativo,fiscal@polocluboficial.com.br,,
101,DERCIO S. MORAES,J,"AV AV BERNARDO SAYAO,697",GOIANIA / GO,6232921200,06.343.003/0001-04,103801324,,SETOR CENTRO OESTE,QUADRA28 LOTE 07 SALA 05,74550020,Ativo / Inativo,derciosantos65@hotmail.com,,
102,DENIVAL RODRIGUES DE MORAIS 01329129105,J,"RUA R 39-A,81",ITAPURANGA / GO,62994836960,29.360.114/0001-24,107159678,,VILA NOVA,FUNDOS,76680000,Ativo / Inativo,denivalmorais12345@gmail.com,,
103,DHIEGO JOSE CAVALCANTE SILVA,J,"R AV DANIEL FELIX DA SILVA,605",CARUARU / PE,81999333558,19.083.285/0001-08,55062717,,BOA VISTA,,55038240,Ativo / Ativo,cavalcantecortes@hotmail.com,,
104,ELIOMAR AVELINO DOS REIS EIRELI,J,"R R JOSE SINIMBU FILHO,235",GOIANIA / GO,62991543112,29.842.109/0001-58,107196220,,SETOR NORTE FERROVIARIO,QUADRA169 LOTE 12,74063330,Ativo / Ativo,processos@evolucoescontabil.com.br,,
105,ESD BRASIL CONFECCOES LTDA,J,"R CATUMBI,720",SAO PAULO / SP,11958659658,15.744.694/0001-49,145386707115,,BELENZINHO,,3021000,Ativo / Inativo,kamanacojeans@uol.com.br,,
106,ESPACO ENCANTADO INDUSTRIA E COME  DO VEST LTDA,J,"RUA R ERALIDES DA SILVA FERREIRA,672",SOMBRIO / SC,4835334575,05.584.629/0001-40,254552153,,PARQUE DAS AVENIDAS,,88960000,Ativo / Inativo,representacaomoritz@gmail.com,,
107,COMPANHIA TEXTIL PE DE SERRA,J,"RODOVIA ROD BR 316,",ARARIPINA / PE,8738738080,09.570.649/0001-12,13070452,,CENTRO,KM 25,56280000,Ativo / Ativo,faturamento@ctpsfiacao.com.br,,
108,COOPERATIVA  DE TRABALHO NOVA ESPERANCA,J,"AV CARLOS BOTELHO,595",NOVA ODESSA / SP,1934768200,02.756.023/0001-56,482026493115,,CENTRO,,13380001,Ativo / Ativo,faturamento@cones.com.br,,
109,FITECA - FIACAO E TECELAGEM ARACAI LTDA.- EPP,J,"RUA MANOEL DURVAL,84",ARACAI / MG,3137156117,02.350.191/0001-47,327292910070,,CENTRO,,35777000,Ativo / Ativo,,,
110,SPGPRINTS BRASIL LTDA,J,"R CLEMENTE ANIBAL BRANCO,375",CONTAGEM / MG,3133311590,61.939.419/0004-40,25436050085,,DISTRITO INDUSTRIAL DOUTOR HELIO PENTAGNA GUIMARAES,,32113491,Ativo / Ativo,camila.andrade@spgprints.com,,
111,COMERCIAL GOMES ANTUNES LTDA,J,"R MARIA BEATRIZ,657",BELO HORIZONTE / MG,3133121400,03.857.699/0001-07,620874100029,,HAVAI,,30555140,Ativo / Ativo,cg-antunes@hotmail.com,,
112,ANDRE CAVALCANTI BUFFET EIRELI-EPP,J,"R ANDRE CAVALCANTI,586",BELO HORIZONTE / MG,3133346377,07.509.537/0001-20,623877810038,,GUTIERREZ,B,30441014,Ativo / Ativo,,,
113,ETILAGE INDUSTRIA E COMERCIO LTDA - ME,J,"R TURMALINA,332",CONTAGEM / MG,3133579418,23.240.216/0001-20,26244290054,,SAO JOAQUIM,,32113060,Ativo / Ativo,administrativo@etilage.com.br,,
114,ESTOK COMERCIO E REPRESENTACOES S/A,J,"ROD BR-356,2500",BELO HORIZONTE / MG,3133113300,49.732.175/0022-07,628833900028,,BELVEDERE,KM 449,30320055,Ativo / Ativo,,,
